名前（フル）	姓	名	名前読み（フル）	姓読み	名読み	属性	メモ	備考
藍華雪	藍華	雪	あいはなゆき	あいはな	ゆき	ENILIS		
愛羽ルヴィ	愛羽	ルヴィ	あいばるゔぃ	あいば	るゔぃ	ENILIS		
蒼凪シノン	蒼凪	シノン	あおなぎしのん	あおなぎ	しのん	ENILIS		
青乃さわ	青乃	さわ	あおのさわ	あおの	さわ	ENILIS		
碧桃せり	碧桃	せり	あおももせり	あおもも	せり	ENILIS		
緋屋ヨウ	緋屋	ヨウ	あかやよう	あかや	よう	ENILIS		
安喰ヨハネ	安喰	ヨハネ	あじきよはね	あじき	よはね	ENILIS		
甘井ステラ	甘井	ステラ	あまいすてら	あまい	すてら	ENILIS		
飴衣ぺふぃ	飴衣	ぺふぃ	あめいぺふぃ	あめい	ぺふぃ	ENILIS		
綾縫鋏	綾縫	鋏	あやぬいきょう	あやぬい	きょう	ENILIS		
一ヶ原小春	一ヶ原	小春	いちがはらこはる	いちがはら	こはる	ENILIS		
一色華蓮	一色	華蓮	いっしきかれん	いっしき	かれん	ENILIS		
いとしのみぃみ	いとしの	みぃみ	いとしのみいみ	いとしの	みいみ	ENILIS		
ヴェアータ・マキシマ	マキシマ	ヴェアータ	ゔぇあーたまきしま	まきしま	ゔぇあーた	ENILIS		
うな・ふぉーわんだー	ふぉーわんだー	うな	うな・ふぉーわんだー	ふぉーわんだー	うな	ENILIS		
海月雪	海月	雪	うみつきゆき	うみつき	ゆき	ENILIS		
海宵玻月	海宵	玻月	うみよいはづき	うみよい	はづき	ENILIS		
王城宵	王城	宵	おしろよい	おしろ	よい	ENILIS		
音代らむ	音代	らむ	おとしろらむ	おとしろ	らむ	ENILIS		
朧月しゅな	朧月	しゅな	おぼろづきしゅな	おぼろづき	しゅな	ENILIS		
想創鉄音	想創	鉄音	おもつくてつと	おもつく	てつと	ENILIS		
霞凰レイリン	霞凰	レイリン	かおうれいりん	かおう	れいりん	ENILIS		
菓熊りま	菓熊	りま	かぐまりま	かぐま	りま	ENILIS		
烏丸冥	烏丸	冥	からすまめい	からすま	めい	ENILIS		
假屋崎ルネ	假屋崎	ルネ	かりやざきるね	かりやざき	るね	ENILIS		
願波るの	願波	るの	がんばるの	がんば	るの	ENILIS		
狐地瑛愛	狐地	瑛愛	きつねじえな	きつねじ	えな	ENILIS		
久遠季生	久遠	季生	くおんきい	くおん	きい	ENILIS		
グリナス・アルヴァリオ	アルヴァリオ	グリナス	ぐりなすあるゔぁりお	あるゔぁりお	ぐりなす	ENILIS		
来終にゃい	来終	にゃい	くるしゅうにゃい	くるしゅう	にゃい	ENILIS		
廻理ぐる	廻理	ぐる	ぐるりぐる	ぐるり	ぐる	ENILIS		
紅乃なずむ	紅乃	なずむ	くれのなずむ	くれの	なずむ	ENILIS		
黒呑珈琲	黒呑	珈琲	くろのみこーひー	くろのみ	こーひー	ENILIS		
黒薔シア	黒薔	シア	くろばしあ	くろば	しあ	ENILIS		
黒符咲すぐり	黒符咲	すぐり	くろふさすぐり	くろふさ	すぐり	ENILIS		
恋乃こはく	恋乃	こはく	こいのこはく	こいの	こはく	ENILIS		
こぐれかや	こぐれ	かや	こぐれかや	こぐれ	かや	ENILIS		
九重凛	九重	凛	ここのえりん	ここのえ	りん	ENILIS		
狐音イノラ	狐音	イノラ	こといのら	こと	いのら	ENILIS		
狡喰蕉雲	狡喰	蕉雲	こばみしょううん	こばみ	しょううん	ENILIS		
小森もちり	小森	もちり	こもりもちり	こもり	もちり	ENILIS		
咲宮花茉莉	咲宮	花茉莉	さきみやはなまり	さきみや	はなまり	ENILIS		
桜灯うみ	桜灯	うみ	さくらびうみ	さくらび	うみ	ENILIS		
咲良萌香	咲良	萌香	さくらもえか	さくら	もえか	ENILIS		
笹舟クーラン	笹舟	クーラン	ささぶねくーらん	ささぶね	くーらん	ENILIS		
サファニエル・ヴォイドール	ヴォイドール	サファニエル	さふぁにえるゔぉいどーる	ゔぉいどーる	さふぁにえる	ENILIS		
太陽れもに	太陽	れもに	さんさんれもに	さんさん	れもに	ENILIS		
己時みこと	己時	みこと	しがときみこと	しがとき	みこと	ENILIS		
式守ぼんち	式守	ぼんち	しきもりぼんち	しきもり	ぼんち	ENILIS		
紫呂あまく	紫呂	あまく	しろあまく	しろ	あまく	ENILIS		
城鐘シエル	城鐘	シエル	しろかねしえる	しろかね	しえる	ENILIS		
城崎ナイト	城崎	ナイト	しろさきないと	しろさき	ないと	ENILIS		
白沢蘭花	白沢	蘭花	しろさわらんか	しろさわ	らんか	ENILIS		
森羅わかな	森羅	わかな	しんらわかな	しんら	わかな	ENILIS		
翠縹コア	翠縹	コア	すいひょうこあ	すいひょう	こあ	ENILIS		
鈴木まい	鈴木	まい	すずきまい	すずき	まい	ENILIS		
鈴夜柊菜	鈴夜	柊菜	すずやしゅうな	すずや	しゅうな	ENILIS		
澄咲ぴゅり	澄咲	ぴゅり	すみさきぴゅり	すみさき	ぴゅり	ENILIS		
皇遊鎖	皇	遊鎖	すめらぎゆさ	すめらぎ	ゆさ	ENILIS		
珠桃ぱある	珠桃	ぱある	すももぱある	すもも	ぱある	ENILIS		
聖菓ミル	聖菓	ミル	せいかみる	せいか	みる	ENILIS		
空詞れーな	空詞	れーな	そらしれーな	そらし	れーな	ENILIS		
鑪星アスタ	鑪星	アスタ	たたらぼしあすた	たたらぼし	あすた	ENILIS		
月坂るな	月坂	るな	つきさかるな	つきさか	るな	ENILIS		
月乃茶々	月乃	茶々	つきのささ	つきの	ささ	ENILIS		
月映凪沙	月映	凪沙	つきばえなぎさ	つきばえ	なぎさ	ENILIS		
白ミュウム	白	ミュウム	つくもみゅうむ	つくも	みゅうむ	ENILIS		
綴森つづの	綴森	つづの	つづもりつづの	つづもり	つづの	ENILIS		
椿月まりん	椿月	まりん	つばきまりん	つばき	まりん	ENILIS		
罪鳥爆月	罪鳥	爆月	つみとばつ	つみと	ばつ	ENILIS		
月紬ゆう	月紬	ゆう	つむぎゆう	つむぎ	ゆう	ENILIS		
天条アリサ	天条	アリサ	てんじょうありさ	てんじょう	ありさ	ENILIS		
電羽電斗	電羽	電斗	でんばでんと	でんば	でんと	ENILIS		
兎我みやび	兎我	みやび	とがみやび	とが	みやび	ENILIS		
虎丹翼	虎丹	翼	とたんつばさ	とたん	つばさ	ENILIS		
友那るわ	友那	るわ	ともなるわ	ともな	るわ	ENILIS		
灯守ミア	灯守	ミア	ともりみあ	ともり	みあ	ENILIS		
薙森にてこ	薙森	にてこ	なぎもりにてこ	なぎもり	にてこ	ENILIS		
菜乃山おめめ	菜乃山	おめめ	なのやまおめめ	なのやま	おめめ	ENILIS		
成速カエナ	成速	カエナ	なるはやかえな	なるはや	かえな	ENILIS		
納戸文月	納戸	文月	なんどふづき	なんど	ふづき	ENILIS		
縫目ぬい	縫目	ぬい	ぬいめぬい	ぬいめ	ぬい	ENILIS		
葉音るる	葉音	るる	はおんるる	はおん	るる	ENILIS		
蓮宮真白	蓮宮	真白	はすみやましろ	はすみや	ましろ	ENILIS		
沙魚川蒼士	沙魚川	蒼士	はせがわあおと	はせがわ	あおと	ENILIS		
羽鳥イズ	羽鳥	イズ	はとりいず	はとり	いず	ENILIS		
