名前（フル）	姓	名	名前読み（フル）	姓読み	名読み	属性	メモ	備考
井月みちる	井月	みちる	いづきみちる	いづき	みちる	HoloAN		
風白ゆき	風白	ゆき	かぜしろゆき	かぜしろ	ゆき	HoloAN		
花園さやか	花園	さやか	はなぞのさやか	はなぞの	さやか	HoloAN		
春先のどか	春先	のどか	はるさきのどか	はるさき	のどか	HoloAN		
IRyS		IRyS	あいりす		あいりす	HoloEN		
エリザベス・ローズ・ブラッドフレイム	ブラッドフレイム	エリザベス	えりざべすろーずぶらっどふれいむ	ぶらっどふれいむ	えりざべす	HoloEN	Elizabeth Rose Bloodflame	
オーロ・クロニー	クロニー	オーロ	おーろくろにー	くろにー	おーろ	HoloEN	Ouro Kronii	
がうる・ぐら	ぐら	がうる	がうるぐら	ぐら	がうる	HoloEN	Gawr Gura	
古石ビジュー	古石	ビジュー	こせきびじゅー	こせき	びじゅー	HoloEN	Koseki Bijou	
シオリ・ノヴェラ	ノヴェラ	シオリ	しおりのゔぇら	のゔぇら	しおり	HoloEN	Shiori Novella	
ジジ・ムリン	ムリン	ジジ	じじむりん	むりん	じじ	HoloEN	Gigi Murin	
セシリア・イマーグリーン	イマーグリーン	セシリア	せしりあいまーぐりーん	いまーぐりーん	せしりあ	HoloEN	Cecilia Immergreen	
セレス・ファウナ	ファウナ	セレス	せれすふぁうな	ふぁうな	せれす	HoloEN	Ceres Fauna	
小鳥遊キアラ	小鳥遊	キアラ	たかなしきあら	たかなし	きあら	HoloEN	Takanashi Kiara	
九十九佐命	九十九	佐命	つくもさな	つくも	さな	HoloEN		
七詩ムメイ	七詩	ムメイ	ななしむめい	ななし	むめい	HoloEN		
一伊那尓栖	一	伊那尓栖	にのまえいなにす	にのまえ	いなにす	HoloEN	Ninomae Ina'nis	
ネリッサ・レイヴンクロフト	レイヴンクロフト	ネリッサ	ねりっされいゔんくろふと	れいゔんくろふと	ねりっさ	HoloEN	Nerissa Ravencroft	
ハコス・ベールズ	ベールズ	ハコス	はこすべーるず	べーるず	はこす	HoloEN	Hakos Baelz	
フワワ・アビスガード	アビスガード	フワワ	ふわわあびすがーど	あびすがーど	ふわわ	HoloEN	フワモコ	
モココ・アビスガード	アビスガード	モココ	もここあびすがーど	あびすがーど	もここ	HoloEN	フワモコ	
森カリオペ	森	カリオペ	もりかりおぺ	もり	かりおぺ	HoloEN	Mori Calliope	
ラオーラ・パンテーラ	パンテーラ	ラオーラ	らおーらぱんてーら	ぱんてーら	らおーら	HoloEN	Raora Panthera	
ワトソン・アメリア	アメリア	ワトソン	わとそんあめりあ	あめりあ	わとそん	HoloEN	Watson Amelia	
アーニャ・メルフィッサ	メルフィッサ	アーニャ	あーにゃめるふぃっさ	めるふぃっさ	あーにゃ	HoloID	Anya Melfissa	
アイラニ・イオフィフティーン	イオフィフティーン	アイラニ	あいらにいおふぃふてぃーん	いおふぃふてぃーん	あいらに	HoloID	Airani Iofifteen　イオ	
アユンダ・リス	アユンダ	リス	あゆんだりす	あゆんだ	りす	HoloID	Ayunda Risu	姓名順不明
カエラ・コヴァルスキア	コヴァルスキア	カエラ	かえらこゔぁるすきあ	こゔぁるすきあ	かえら	HoloID	Kaela Kovalskia	
クレイジー・オリー	クレイジー	オリー	くれいじーおりー	くれいじー	おりー	HoloID	Kureiji Ollie	姓名順不明
こぼ・かなえる	かなえる	こぼ	こぼかなえる	かなえる	こぼ	HoloID		
パヴォリア・レイネ	パヴォリア	レイネ	ぱゔぉりあれいね	ぱゔぉりあ	れいね	HoloID	Pavolia Reine	姓名順不明
ベスティア・ゼータ	ベスティア	ゼータ	べすてぃあぜーた	べすてぃあ	ぜーた	HoloID	Vestia Zeta	姓名順不明
ムーナ・ホシノヴァ	ホシノヴァ	ムーナ	むーなほしのゔぁ	ほしのゔぁ	むーな	HoloID	Moona Hoshinova	
赤井はあと	赤井	はあと	あかいはあと	あかい	はあと	HoloJP	はあちゃま	
アキ・ローゼンタール	ローゼンタール	アキ	あきろーぜんたーる	ろーぜんたーる	あき	HoloJP	あきろぜ	
AZKi		AZKi	あずき		あずき	HoloJP		
天音かなた	天音	かなた	あまねかなた	あまね	かなた	HoloJP		
響咲リオナ	響咲	リオナ	いさきりおな	いさき	りおな	HoloJP		
一条莉々華	一条	莉々華	いちじょうりりか	いちじょう	りりか	HoloJP	しゃっちょ	
戌神ころね	戌神	ころね	いぬがみころね	いぬがみ	ころね	HoloJP		
兎田ぺこら	兎田	ぺこら	うさだぺこら	うさだ	ぺこら	HoloJP	ぺこーら	
潤羽るしあ	潤羽	るしあ	うるはるしあ	うるは	るしあ	HoloJP		
大神ミオ	大神	ミオ	おおかみみお	おおかみ	みお	HoloJP	みおしゃ	
大空スバル	大空	スバル	おおぞらすばる	おおぞら	すばる	HoloJP	しゅば	
音乃瀬奏	音乃瀬	奏	おとのせかなで	おとのせ	かなで	HoloJP	げつようび	
尾丸ポルカ	尾丸	ポルカ	おまるぽるか	おまる	ぽるか	HoloJP		
風真いろは	風真	いろは	かざまいろは	かざま	いろは	HoloJP	ござる	
綺々羅々ヴィヴィ	綺々羅々	ヴィヴィ	ききららゔぃゔぃ	ききらら	ゔぃゔぃ	HoloJP		
桐生ココ	桐生	ココ	きりゅうここ	きりゅう	ここ	HoloJP	会長	
虎金妃笑虎	虎金妃	笑虎	こがねいにこ	こがねい	にこ	HoloJP		
沙花叉クロヱ	沙花叉	クロヱ	さかまたくろえ	さかまた	くろえ	HoloJP		
さくらみこ	さくら	みこ	さくらみこ	さくら	みこ	HoloJP	えりーと　にぇ	
獅白ぼたん	獅白	ぼたん	ししろぼたん	ししろ	ぼたん	HoloJP		
儒烏風亭らでん	儒烏風亭	らでん	じゅうふうていらでん	じゅうふうてい	らでん	HoloJP		
白上フブキ	白上	フブキ	しらかみふぶき	しらかみ	ふぶき	HoloJP		
不知火フレア	不知火	フレア	しらぬいふれあ	しらぬい	ふれあ	HoloJP		
白銀ノエル	白銀	ノエル	しろがねのえる	しろがね	のえる	HoloJP		
鷹嶺ルイ	鷹嶺	ルイ	たかねるい	たかね	るい	HoloJP		
角巻わため	角巻	わため	つのまきわため	つのまき	わため	HoloJP	わるくないよねぇ	
ときのそら	ときの	そら	ときのそら	ときの	そら	HoloJP		
常闇トワ	常闇	トワ	とこやみとわ	とこやみ	とわ	HoloJP	トワ様	
轟はじめ	轟	はじめ	とどろきはじめ	とどろき	はじめ	HoloJP	ばんちょ	
百鬼あやめ	百鬼	あやめ	なきりあやめ	なきり	あやめ	HoloJP	余	
夏色まつり	夏色	まつり	なついろまつり	なついろ	まつり	HoloJP	まちゅ	
猫又おかゆ	猫又	おかゆ	ねこまたおかゆ	ねこまた	おかゆ	HoloJP		
博衣こより	博衣	こより	はくいこより	はくい	こより	HoloJP		
火威青	火威	青	ひおどしあお	ひおどし	あお	HoloJP		
姫森ルーナ	姫森	ルーナ	ひめもりるーな	ひめもり	るーな	HoloJP	ひめ　んなたん	
宝鐘マリン	宝鐘	マリン	ほうしょうまりん	ほうしょう	まりん	HoloJP		
星街すいせい	星街	すいせい	ほしまちすいせい	ほしまち	すいせい	HoloJP		
魔乃アロエ	魔乃	アロエ	まのあろえ	まの	あろえ	HoloJP		
水宮枢	水宮	枢	みずみやすう	みずみや	すう	HoloJP		
湊あくあ	湊	あくあ	みなとあくあ	みなと	あくあ	HoloJP	あくたん	
紫咲シオン	紫咲	シオン	むらさきしおん	むらさき	しおん	HoloJP		
桃鈴ねね	桃鈴	ねね	ももすずねね	ももすず	ねね	HoloJP		
雪花ラミィ	雪花	ラミィ	ゆきはならみい	ゆきはな	らみい	HoloJP		
癒月ちょこ	癒月	ちょこ	ゆづきちょこ	ゆづき	ちょこ	HoloJP		
夜空メル	夜空	メル	よぞらめる	よぞら	める	HoloJP		
ラプラス・ダークネス	ダークネス	ラプラス	らぷらすだーくねす	だーくねす	らぷらす	HoloJP	ラプ様　ツノガキ　総帥	
輪堂千速	輪堂	千速	りんどうちはや	りんどう	ちはや	HoloJP		
ロボ子さん		ロボ子さん	ろぼこさん		ろぼこさん	HoloJP	ろぼち　高性能	
清澄ライラ	清澄	ライラ	きよすみらいら	きよすみ	らいら	HoloMP	いちご大根　ピザナイフ	
墨汐さやな	墨汐	さやな	すみしおさやな	すみしお	さやな	HoloMP		
由比河ひなみ	由比河	ひなみ	ゆいかわひなみ	ゆいかわ	ひなみ	HoloMP		
宵凪ネオン	宵凪	ネオン	よいなぎねおん	よいなぎ	ねおん	HoloMP	早口まつ毛	
琉海垣りらら	琉海垣	りらら	るみがきりらら	るみがき	りらら	HoloMP		
玲銘ミラ	玲銘	ミラ	れいめいみら	れいめい	みら	HoloMP	両面宿儺　二郎系両面宿儺	
Ommegaα		Ommegaα	おめがあるふぁ		おめがあるふぁ	HoloStaff		
YAGOO		YAGOO	やごー		やごー	HoloStaff	谷郷元昭	
友人A		友人A	ゆうじんえー		ゆうじんえー	HoloStaff		
アクセル・シリオス	シリオス	アクセル	あくせるしりおす	しりおす	あくせる	HolostEN	Axel Syrios	
オクタビオ		オクタビオ	おくたびお		おくたびお	HolostEN	Octavio	
ガビス・ベッテル	ベッテル	ガビス	がびすべってる	べってる	がびす	HolostEN	Gavis Bettel	
クリムゾン・ルーズ	ルーズ	クリムゾン	くりむぞんるーず	るーず	くりむぞん	HolostEN	Crimzon Ruze	
ゴールドブレット		ゴールドブレット	ごーるどぶれっと		ごーるどぶれっと	HolostEN	Goldbullet	
ジュラルド・ティー・レクスフォード	レクスフォード	ジュラルド	じゅらるどてぃーれくすふぉーど	れくすふぉーど	じゅらるど	HolostEN	Jurard T Rexford	
定水寺シンリ	定水寺	シンリ	じょうすいじしんり	じょうすいじ	しんり	HolostEN		
ノワール・ヴェスパー	ヴェスパー	ノワール	のわーるゔぇすぱー	ゔぇすぱー	のわーる	HolostEN	Noir Vesper	
万象院ハッカ	万象院	ハッカ	ばんぞういんはっか	ばんぞういん	はっか	HolostEN		
マキナ・X・フレオン	フレオン	マキナ	まきなえっくすふれおん	ふれおん	まきな	HolostEN	Machina X Flayon	
マグニ・デズモンド	デズモンド	マグニ	まぐにでずもんど	でずもんど	まぐに	HolostEN	Magni Dezmond	
リージス・アルテア	アルテア	リージス	りーじすあるてあ	あるてあ	りーじす	HolostEN	Regis Altare	
アステル・レダ	レダ	アステル	あすてるれだ	れだ	あすてる	HolostJP		
荒咬オウガ	荒咬	オウガ	あらがみおうが	あらがみ	おうが	HolostJP		
アルランディス		アルランディス	あるらんでぃす		あるらんでぃす	HolostJP		
羽継烏有	羽継	烏有	うつぎうゆう	うつぎ	うゆう	HolostJP		
鏡見キラ	鏡見	キラ	かがみきら	かがみ	きら	HolostJP		
影山シエン	影山	シエン	かげやましえん	かげやま	しえん	HolostJP		
奏手イヅル	奏手	イヅル	かなでいづる	かなで	いづる	HolostJP		
岸堂天真	岸堂	天真	きしどうてんま	きしどう	てんま	HolostJP		
月下カオル	月下	カオル	つきしたかおる	つきした	かおる	HolostJP		
花咲みやび	花咲	みやび	はなさきびやび	はなさき	みやび	HolostJP		
緋崎ガンマ	緋崎	ガンマ	ひざきがんま	ひざき	がんま	HolostJP		
水無瀬燐央	水無瀬	燐央	みなせりお	みなせ	りお	HolostJP		
薬師寺朱雀	薬師寺	朱雀	やくしじすざく	やくしじ	すざく	HolostJP		
夜十神封魔	夜十神	封魔	やとがみふうま	やとがみ	ふうま	HolostJP		
夕刻ロベル	夕刻	ロベル	ゆうこくろべる	ゆうこく	ろべる	HolostJP	除夜のケツ	
律可		律可	りっか		りっか	HolostJP		
Aia Amare	Amare	Aia	あいああまれ	あまれ	あいあ	NijiEN		
Ike Eveland	Eveland	Ike	あいくいーゔらんど	いーゔらんど	あいく	NijiEN		
Aster Arcadia	Arcadia	Aster	あすたーあるかでぃあ	あるかでぃあ	あすたー	NijiEN		
Yugo Asuma	Asuma	Yugo	あすまゆーご	あすま	ゆーご	NijiEN	遊間ユーゴ	
Alban Knox	Knox	Alban	あるばーんのっくす	のっくす	あるばーん	NijiEN		
Victoria Brightshield	Brightshield	Victoria	ゔぃくとりあぶらいとしーるど	ぶらいとしーるど	ゔぃくとりあ	NijiEN		
Ver Vermillion	Vermillion	Ver	ゔぇーるゔぁーみりおん	ゔぁーみりおん	ゔぇーる	NijiEN		
Vezalius Bandage	Bandage	Vezalius	ゔぇざりうすばんてーじ	ばんてーじ	ゔぇざりうす	NijiEN		
Vox Akuma	Akuma	Vox	ゔぉっくすあくま	あくま	ゔぉっくす	NijiEN		
Uki Violeta	Violeta	Uki	うきゔぃおれた	ゔぃおれた	うき	NijiEN	浮奇・ヴィオレタ	
Enna Alouette	Alouette	Enna	えなーあーるうぇっと	あーるうぇっと	えなー	NijiEN		
Elira Pendora	Pendora	Elira	えりーらぺんどら	ぺんどら	えりーら	NijiEN		
Kyo Kaneko	Kaneko	Kyo	かねこきょう	かねこ	きょう	NijiEN	金子鏡	
Meloco Kyoran	Meloco	Kyoran	きょうらんめろこ	きょうらん	めろこ	NijiEN	狂蘭メロコ	
Klara Charmwood	Charmwood	Klara	くららちゃーむうっど	ちゃーむうっど	くらら	NijiEN		
Claude Clawmark	Clawmark	Claude	くろーどくろーまーく	くろーまーく	くろーど	NijiEN		
Kaelix Debonair	Debonair	Kaelix	けいりくすでぼねあ	でぼねあ	けいりくす	NijiEN		
Nina Kosaka	Kosaka	Nina	こさかにな	こさか	にな	NijiEN	狐坂ニナ	
Sonny Brisko	Brisko	Sonny	さにーぶりすこー	ぶりすこー	さにー	NijiEN		
Zeal Ginjoka	Ginjoka	Zeal	じーるぎんじょうか	ぎんじょうか	じーる	NijiEN		
Scarle Yonaguni	Yonaguni	Scarle	すかーれよなぐに	よなぐに	すかーれ	NijiEN		
Seible 		Seible	せいぶる		せいぶる	NijiEN		
Selen Tatsuki	Tatsuki	Selen	せれんたつき	せれん	たつき	NijiEN	セレン龍月	
Twisty Amanozako	Amanozako	Twisty	とぅいすてぃーあまのざこ	あまのざこ	とぅいすてぃー	NijiEN		
Doppio Dropscythe	Dropscythe	Doppio	どっぴおどろっぷさいと	どろっぷさいと	どっぴお	NijiEN		
Kotoka Torahime	Torahime	Kotoka	とらひめことか	とらひめ	ことか	NijiEN	虎姫コトカ	
Kunai Nakasao	Nakasao	Kunai	なかさとくない	なかさと	くない	NijiEN	中里苦無	
Fulgur Ovid	Ovid	Fulgur	ふぁるがーおーゔぃど	おーゔぃど	ふぁるがー	NijiEN		
Finana Ryugu	Ryugu	Finana	ふぃなーなりゅうぐう	りゅうぐう	ふぃなーな	NijiEN	フィナーナ 竜宮	
Freodore 		Freodore	ふりおどーる		ふりおどーる	NijiEN		
Hex Haywire	Haywire	Hex	へっくすへいわいやー	へいわいやー	へっくす	NijiEN		
Petra Gurin	Gurin	Petra	ぺとらぐりん	ぐりん	ぺとら	NijiEN		
Vantacrow Bringer	Bringer	Vantacrow	ぺんたくろうぶりんがー	ぶりんがー	ぺんたくろう	NijiEN		
Pomu Rainpuff	Rainpuff	Pomu	ぽむれいんぱふ	れいんぱふ	ぽむ	NijiEN		
Maria Marionette	Marionette	Maria	まりあまりおねっと	まりおねっと	まりあ	NijiEN		
Mysta Rias	Rias	Mysta	みすたりあす	りあす	みすた	NijiEN		
Millie Parfait	Parfait	Millie	みりーぱふぇ	ぱふぇ	みりー	NijiEN		
Shu Yamino	Yamino	Shu	やみのしゅう	やみの	しゅう	NijiEN	闇乃シュウ	
Yu Q. Wilson	Wilson	Yu	ゆうきゅううぃるそん	うぃるそん	ゆう	NijiEN		
Zaion LanZa	LanZa	Zaion	らんざーざいおん	らんざー	ざいおん	NijiEN	ランザー罪恩	
Ryoma Barrenwort	Barrenwort	Ryoma	りょうまばれんうぉーと	ばれんうぉーと	りょうま	NijiEN	涼舞 バレンウォート	
Luca Kaneshiro	Kaneshiro	Luca	るかかねしろ	かねしろ	るか	NijiEN		
Reimu Endou	Endou	Reimu	えんどうれいむ	えんどう	れいむ	NijiEN	遠藤霊夢	
Ren Zotto	Zotto	Ren	れんぞっと	ぞっと	れん	NijiEN		
Rosemi Lovelock	Lovelock	Rosemi	ろぜみらぶろっく	らぶろっく	ろぜみ	NijiEN		
Azura Cecillia	Cecillia	Azura	あずらせしりあ	せしりあ	あずら	NijiID		
